av512m/500/1 : {'above_tracked': 7053, 'above_total': 7144, 'below_tracked': 25, 'below_total': 25}
av512m/500/2 : {'above_tracked': 7053, 'above_total': 7144, 'below_tracked': 25, 'below_total': 25}
av512m/500/3 : {'above_tracked': 7053, 'above_total': 7144, 'below_tracked': 25, 'below_total': 25}
av512m/750/1 : {'above_tracked': 7094, 'above_total': 7094, 'below_tracked': 75, 'below_total': 75}
av512m/750/2 : {'above_tracked': 7094, 'above_total': 7094, 'below_tracked': 75, 'below_total': 75}
av512m/750/3 : {'above_tracked': 7094, 'above_total': 7094, 'below_tracked': 75, 'below_total': 75}
av512m/1000/1 : {'above_tracked': 7028, 'above_total': 7028, 'below_tracked': 141, 'below_total': 141}
av512m/1000/2 : {'above_tracked': 7028, 'above_total': 7028, 'below_tracked': 141, 'below_total': 141}
av512m/1000/3 : {'above_tracked': 7028, 'above_total': 7028, 'below_tracked': 141, 'below_total': 141}
av512m/1250/1 : {'above_tracked': 7005, 'above_total': 7005, 'below_tracked': 164, 'below_total': 164}
av512m/1250/2 : {'above_tracked': 7005, 'above_total': 7005, 'below_tracked': 164, 'below_total': 164}
av512m/1250/3 : {'above_tracked': 7005, 'above_total': 7005, 'below_tracked': 164, 'below_total': 164}
av512m/2500/1 : {'above_tracked': 6675, 'above_total': 6675, 'below_tracked': 494, 'below_total': 494}
av512m/2500/2 : {'above_tracked': 6675, 'above_total': 6675, 'below_tracked': 494, 'below_total': 494}
av512m/2500/3 : {'above_tracked': 6675, 'above_total': 6675, 'below_tracked': 494, 'below_total': 494}
av512m/5000/1 : {'above_tracked': 3758, 'above_total': 3758, 'below_tracked': 3411, 'below_total': 3411}
av512m/5000/2 : {'above_tracked': 3758, 'above_total': 3758, 'below_tracked': 3411, 'below_total': 3411}
av512m/5000/3 : {'above_tracked': 3758, 'above_total': 3758, 'below_tracked': 3411, 'below_total': 3411}
av512m/10000/1 : {'above_tracked': 46, 'above_total': 46, 'below_tracked': 7123, 'below_total': 7123}
av512m/10000/2 : {'above_tracked': 46, 'above_total': 46, 'below_tracked': 7123, 'below_total': 7123}
av512m/10000/3 : {'above_tracked': 46, 'above_total': 46, 'below_tracked': 7123, 'below_total': 7123}
av512s/500/1 : {'above_tracked': 7278, 'above_total': 7278, 'below_tracked': 12, 'below_total': 12}
av512s/500/2 : {'above_tracked': 7278, 'above_total': 7278, 'below_tracked': 12, 'below_total': 12}
av512s/500/3 : {'above_tracked': 7278, 'above_total': 7278, 'below_tracked': 12, 'below_total': 12}
av512s/750/1 : {'above_tracked': 7223, 'above_total': 7223, 'below_tracked': 67, 'below_total': 67}
av512s/750/2 : {'above_tracked': 7223, 'above_total': 7223, 'below_tracked': 67, 'below_total': 67}
av512s/750/3 : {'above_tracked': 7132, 'above_total': 7223, 'below_tracked': 67, 'below_total': 67}
av512s/1000/1 : {'above_tracked': 7151, 'above_total': 7151, 'below_tracked': 139, 'below_total': 139}
av512s/1000/2 : {'above_tracked': 7151, 'above_total': 7151, 'below_tracked': 139, 'below_total': 139}
av512s/1000/3 : {'above_tracked': 7151, 'above_total': 7151, 'below_tracked': 139, 'below_total': 139}
av512s/1250/1 : {'above_tracked': 7128, 'above_total': 7128, 'below_tracked': 162, 'below_total': 162}
av512s/1250/2 : {'above_tracked': 7128, 'above_total': 7128, 'below_tracked': 162, 'below_total': 162}
av512s/1250/3 : {'above_tracked': 7128, 'above_total': 7128, 'below_tracked': 162, 'below_total': 162}
av512s/2500/1 : {'above_tracked': 6796, 'above_total': 6796, 'below_tracked': 494, 'below_total': 494}
av512s/2500/2 : {'above_tracked': 6796, 'above_total': 6796, 'below_tracked': 494, 'below_total': 494}
av512s/2500/3 : {'above_tracked': 6796, 'above_total': 6796, 'below_tracked': 494, 'below_total': 494}
av512s/5000/1 : {'above_tracked': 3878, 'above_total': 3878, 'below_tracked': 3412, 'below_total': 3412}
av512s/5000/2 : {'above_tracked': 3878, 'above_total': 3878, 'below_tracked': 3412, 'below_total': 3412}
av512s/5000/3 : {'above_tracked': 3878, 'above_total': 3878, 'below_tracked': 3412, 'below_total': 3412}
av512s/10000/1 : {'above_tracked': 45, 'above_total': 45, 'below_tracked': 7245, 'below_total': 7245}
av512s/10000/2 : {'above_tracked': 45, 'above_total': 45, 'below_tracked': 7245, 'below_total': 7245}
av512s/10000/3 : {'above_tracked': 45, 'above_total': 45, 'below_tracked': 7245, 'below_total': 7245}
euroc_mh1_752/500/1 : {'above_tracked': 3682, 'above_total': 3682, 'below_tracked': 0, 'below_total': 0}
euroc_mh1_752/500/2 : {'above_tracked': 3682, 'above_total': 3682, 'below_tracked': 0, 'below_total': 0}
euroc_mh1_752/500/3 : {'above_tracked': 3682, 'above_total': 3682, 'below_tracked': 0, 'below_total': 0}
euroc_mh1_752/750/1 : {'above_tracked': 3664, 'above_total': 3682, 'below_tracked': 0, 'below_total': 0}
